Object	Correct_Category	DS_MaxLikelihood_Category	MV_MaxLikelihood_Category	DS_MinCost_Category	MV_MinCost_Category	DS_Pr[GENV]	DS_Pr[GWEA]	DS_Pr[GDIS]	MV_Pr[GENV]	MV_Pr[GWEA]	MV_Pr[GDIS]	DataCost_Estm_DS_Exp	DataCost_Estm_MV_Exp	DataCost_Estm_DS_ML	DataCost_Estm_MV_ML	DataCost_Estm_DS_Min	DataCost_Estm_MV_Min	DataCost_Estm_NoVote_Exp	DataCost_Estm_NoVote_Min	DataCost_Eval_DS_ML	DataCost_Eval_MV_ML	DataCost_Eval_DS_Min	DataCost_Eval_MV_Min	DataCost_Eval_DS_Soft	DataCost_Eval_MV_Soft	DataQuality_Estm_DS_ML	DataQuality_Estm_MV_ML	DataQuality_Estm_DS_Exp	DataQuality_Estm_MV_Exp	DataQuality_Estm_DS_Min	DataQuality_Estm_MV_Min	DataQuality_Eval_DS_ML	DataQuality_Eval_MV_ML	DataQuality_Eval_DS_Min	DataQuality_Eval_MV_Min	DataQuality_Eval_DS_Soft	DataQuality_Eval_MV_Soft
1547	GDIS	GDIS	GDIS	GDIS	GDIS	0.0767	0.0078	0.9155	0.3333	0.0000	0.6667	0.1560	0.4444	0.0845	0.3333	0.0845	0.3333	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0845	0.3333	83.27%	34.02%	69.13%	12.03%	83.27%	34.02%	100.00%	100.00%	100.00%	100.00%	83.27%	34.02%
1548	GWEA	GWEA	GWEA	GWEA	GWEA	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
1549	GDIS	GENV	GENV	GENV	GENV	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	100.00%	100.00%	99.99%	100.00%	100.00%	100.00%	-97.93%	-97.93%	-97.93%	-97.93%	-97.92%	-97.93%
155	GDIS	GDIS	GDIS	GDIS	GDIS	0.0044	0.0030	0.9926	0.0000	0.0000	1.0000	0.0147	0.0000	0.0074	0.0000	0.0074	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0074	0.0000	98.54%	100.00%	97.09%	100.00%	98.54%	100.00%	100.00%	100.00%	100.00%	100.00%	98.54%	100.00%
1550	null	GWEA	GWEA	GWEA	GWEA	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
1551	GDIS	GDIS	GDIS	GDIS	GDIS	0.0044	0.0030	0.9926	0.0000	0.0000	1.0000	0.0147	0.0000	0.0074	0.0000	0.0074	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0074	0.0000	98.54%	100.00%	97.09%	100.00%	98.54%	100.00%	100.00%	100.00%	100.00%	100.00%	98.54%	100.00%
1552	GDIS	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
1553	GWEA	GWEA	GWEA	GWEA	GWEA	0.0379	0.8333	0.1288	0.0000	1.0000	0.0000	0.2876	0.0000	0.1667	0.0000	0.1667	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.1667	0.0000	67.01%	100.00%	43.08%	100.00%	67.01%	100.00%	100.00%	100.00%	100.00%	100.00%	67.01%	100.00%
1554	GWEA	GWEA	GWEA	GWEA	GWEA	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
1555	GWEA	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.9999	1.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	-97.93%	-97.93%	-97.93%	-97.93%	-97.92%	-97.93%
1556	GDIS	GENV	GENV	GENV	GENV	0.9949	0.0008	0.0043	1.0000	0.0000	0.0000	0.0103	0.0000	0.0052	0.0000	0.0052	0.0000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.9957	1.0000	98.98%	100.00%	97.97%	100.00%	98.98%	100.00%	-97.93%	-97.93%	-97.93%	-97.93%	-97.07%	-97.93%
1557	GDIS	GWEA	GWEA	GWEA	GWEA	0.0461	0.8245	0.1295	0.2500	0.5000	0.2500	0.3014	0.6250	0.1755	0.5000	0.1755	0.5000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.8705	0.7500	65.26%	1.04%	40.35%	-23.71%	65.26%	1.04%	-97.93%	-97.93%	-97.93%	-97.93%	-72.30%	-48.45%
1558	GWEA	GWEA	GWEA	GWEA	GWEA	0.0000	0.9999	0.0001	0.0000	1.0000	0.0000	0.0002	0.0000	0.0001	0.0000	0.0001	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	99.98%	100.00%	99.96%	100.00%	99.98%	100.00%	100.00%	100.00%	100.00%	100.00%	99.98%	100.00%
1559	GENV	GENV	GENV	GENV	GENV	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	99.99%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
156	GWEA	GDIS	GDIS	GDIS	GDIS	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	-97.93%	-97.93%	-97.93%	-97.93%	-97.93%	-97.93%
1560	GDIS	GENV	GENV	GENV	GENV	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	100.00%	100.00%	99.99%	100.00%	100.00%	100.00%	-97.93%	-97.93%	-97.93%	-97.93%	-97.92%	-97.93%
1561	GWEA	GWEA	GWEA	GWEA	GWEA	0.0274	0.9595	0.0132	0.3333	0.6667	0.0000	0.0785	0.4444	0.0406	0.3333	0.0406	0.3333	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0406	0.3333	91.97%	34.02%	84.46%	12.03%	91.97%	34.02%	100.00%	100.00%	100.00%	100.00%	91.97%	34.02%
1562	GDIS	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
1563	GWEA	GWEA	GWEA	GWEA	GWEA	0.0013	0.9978	0.0009	0.2500	0.7500	0.0000	0.0044	0.3750	0.0022	0.2500	0.0022	0.2500	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0022	0.2500	99.56%	50.52%	99.12%	25.78%	99.56%	50.52%	100.00%	100.00%	100.00%	100.00%	99.56%	50.52%
1564	GENV	GDIS	GDIS	GDIS	GDIS	0.0767	0.0078	0.9155	0.3333	0.0000	0.6667	0.1560	0.4444	0.0845	0.3333	0.0845	0.3333	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.9233	0.6667	83.27%	34.02%	69.13%	12.03%	83.27%	34.02%	-97.93%	-97.93%	-97.93%	-97.93%	-82.75%	-31.95%
1565	GDIS	GENV	GENV	GENV	GENV	0.9879	0.0001	0.0120	0.6000	0.0000	0.4000	0.0239	0.4800	0.0121	0.4000	0.0121	0.4000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.9880	0.6000	97.61%	20.83%	95.28%	4.99%	97.61%	20.83%	-97.93%	-97.93%	-97.93%	-97.93%	-95.56%	-18.76%
1566	GENV	GWEA	GWEA	GWEA	GWEA	0.0000	0.9999	0.0001	0.0000	1.0000	0.0000	0.0002	0.0000	0.0001	0.0000	0.0001	0.0000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	99.98%	100.00%	99.96%	100.00%	99.98%	100.00%	-97.93%	-97.93%	-97.93%	-97.93%	-97.92%	-97.93%
1567	GDIS	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
1568	GDIS	GWEA	GWEA	GWEA	GWEA	0.0726	0.8080	0.1194	0.2500	0.5000	0.2500	0.3276	0.6250	0.1920	0.5000	0.1920	0.5000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.8806	0.7500	62.00%	1.04%	35.16%	-23.71%	62.00%	1.04%	-97.93%	-97.93%	-97.93%	-97.93%	-74.30%	-48.45%
1569	GDIS	GDIS	GDIS	GDIS	GDIS	0.0044	0.0030	0.9926	0.0000	0.0000	1.0000	0.0147	0.0000	0.0074	0.0000	0.0074	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0074	0.0000	98.54%	100.00%	97.09%	100.00%	98.54%	100.00%	100.00%	100.00%	100.00%	100.00%	98.54%	100.00%
157	GDIS	GDIS	GDIS	GDIS	GDIS	0.0225	0.0015	0.9760	0.2500	0.0000	0.7500	0.0469	0.3750	0.0240	0.2500	0.0240	0.2500	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0240	0.2500	95.25%	50.52%	90.72%	25.78%	95.25%	50.52%	100.00%	100.00%	100.00%	100.00%	95.25%	50.52%
1570	GWEA	GWEA	GWEA	GWEA	GWEA	0.0379	0.8333	0.1288	0.0000	1.0000	0.0000	0.2876	0.0000	0.1667	0.0000	0.1667	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.1667	0.0000	67.01%	100.00%	43.08%	100.00%	67.01%	100.00%	100.00%	100.00%	100.00%	100.00%	67.01%	100.00%
1571	GDIS	GDIS	GDIS	GDIS	GDIS	0.0012	0.0006	0.9982	0.0000	0.0000	1.0000	0.0035	0.0000	0.0018	0.0000	0.0018	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0018	0.0000	99.65%	100.00%	99.30%	100.00%	99.65%	100.00%	100.00%	100.00%	100.00%	100.00%	99.65%	100.00%
1572	GDIS	GDIS	GDIS	GDIS	GDIS	0.0167	0.1477	0.8355	0.0000	0.3333	0.6667	0.2798	0.4444	0.1645	0.3333	0.1645	0.3333	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.1645	0.3333	67.45%	34.02%	44.63%	12.03%	67.45%	34.02%	100.00%	100.00%	100.00%	100.00%	67.45%	34.02%
1573	GWEA	GWEA	GWEA	GWEA	GWEA	0.0056	0.6911	0.3033	0.0000	0.5000	0.5000	0.4304	0.5000	0.3089	0.5000	0.3089	0.5000	0.6240	0.5052	0.0000	1.0000	0.0000	0.0000	0.3089	0.5000	38.86%	1.04%	14.81%	1.04%	38.86%	1.04%	100.00%	100.00%	100.00%	100.00%	38.86%	1.04%
1574	GWEA	GWEA	GWEA	GWEA	GWEA	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
1575	GDIS	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
1576	GDIS	GDIS	GDIS	GDIS	GDIS	0.0029	0.0438	0.9533	0.0000	0.2500	0.7500	0.0893	0.3750	0.0467	0.2500	0.0467	0.2500	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0467	0.2500	90.75%	50.52%	82.32%	25.78%	90.75%	50.52%	100.00%	100.00%	100.00%	100.00%	90.75%	50.52%
1577	GDIS	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
1578	GENV	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.9998	1.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	-97.93%	-97.93%	-97.93%	-97.93%	-97.90%	-97.93%
1579	GDIS	GDIS	GDIS	GDIS	GDIS	0.0005	0.0032	0.9963	0.0000	0.2000	0.8000	0.0074	0.3200	0.0037	0.2000	0.0037	0.2000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0037	0.2000	99.26%	60.41%	98.53%	36.66%	99.26%	60.41%	100.00%	100.00%	100.00%	100.00%	99.26%	60.41%
158	GDIS	GENV	GENV	GENV	GENV	0.9382	0.0003	0.0615	0.6000	0.0000	0.4000	0.1160	0.4800	0.0618	0.4000	0.0618	0.4000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.9385	0.6000	87.76%	20.83%	77.03%	4.99%	87.76%	20.83%	-97.93%	-97.93%	-97.93%	-97.93%	-85.75%	-18.76%
1580	GDIS	GDIS	GDIS	GDIS	GDIS	0.1636	0.0005	0.8359	0.4000	0.0000	0.6000	0.2745	0.4800	0.1641	0.4000	0.1641	0.4000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.1641	0.4000	67.52%	20.83%	45.67%	4.99%	67.52%	20.83%	100.00%	100.00%	100.00%	100.00%	67.52%	20.83%
1581	GWEA	GWEA	GWEA	GWEA	GWEA	0.0001	0.9898	0.0101	0.0000	0.6000	0.4000	0.0201	0.4800	0.0102	0.4000	0.0102	0.4000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0102	0.4000	97.99%	20.83%	96.01%	4.99%	97.99%	20.83%	100.00%	100.00%	100.00%	100.00%	97.99%	20.83%
1582	GDIS	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
1583	GDIS	GDIS	GDIS	GDIS	GDIS	0.0012	0.0006	0.9982	0.0000	0.0000	1.0000	0.0035	0.0000	0.0018	0.0000	0.0018	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0018	0.0000	99.65%	100.00%	99.30%	100.00%	99.65%	100.00%	100.00%	100.00%	100.00%	100.00%	99.65%	100.00%
1584	GWEA	GWEA	GWEA	GWEA	GWEA	0.0328	0.5012	0.4660	0.0000	0.5000	0.5000	0.5305	0.5000	0.4988	0.5000	0.4988	0.5000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.4988	0.5000	1.28%	1.04%	-5.01%	1.04%	1.28%	1.04%	100.00%	-97.93%	100.00%	100.00%	1.28%	1.04%
1585	GDIS	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
1586	GDIS	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
1587	GDIS	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
1588	GDIS	GDIS	GDIS	GDIS	GDIS	0.0044	0.0030	0.9926	0.0000	0.0000	1.0000	0.0147	0.0000	0.0074	0.0000	0.0074	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0074	0.0000	98.54%	100.00%	97.09%	100.00%	98.54%	100.00%	100.00%	100.00%	100.00%	100.00%	98.54%	100.00%
1589	GDIS	GDIS	GDIS	GDIS	GDIS	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
159	GWEA	GWEA	GWEA	GWEA	GWEA	0.0003	0.9855	0.0142	0.0000	0.6000	0.4000	0.0285	0.4800	0.0145	0.4000	0.0145	0.4000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0145	0.4000	97.13%	20.83%	94.35%	4.99%	97.13%	20.83%	100.00%	100.00%	100.00%	100.00%	97.13%	20.83%
1590	GDIS	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
1591	GWEA	GWEA	GWEA	GWEA	GWEA	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
1592	GWEA	GWEA	GWEA	GWEA	GWEA	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
1593	GDIS	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
1594	GDIS	GDIS	GDIS	GDIS	GDIS	0.0012	0.0006	0.9982	0.0000	0.0000	1.0000	0.0035	0.0000	0.0018	0.0000	0.0018	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0018	0.0000	99.65%	100.00%	99.30%	100.00%	99.65%	100.00%	100.00%	100.00%	100.00%	100.00%	99.65%	100.00%
1595	GDIS	GDIS	GDIS	GDIS	GDIS	0.0005	0.0032	0.9963	0.0000	0.2000	0.8000	0.0074	0.3200	0.0037	0.2000	0.0037	0.2000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0037	0.2000	99.26%	60.41%	98.53%	36.66%	99.26%	60.41%	100.00%	100.00%	100.00%	100.00%	99.26%	60.41%
1596	GDIS	GDIS	GDIS	GDIS	GDIS	0.0038	0.0308	0.9655	0.0000	0.2500	0.7500	0.0669	0.3750	0.0345	0.2500	0.0345	0.2500	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0345	0.2500	93.16%	50.52%	86.75%	25.78%	93.16%	50.52%	100.00%	100.00%	100.00%	100.00%	93.16%	50.52%
1597	GDIS	GDIS	GDIS	GDIS	GDIS	0.0767	0.0078	0.9155	0.3333	0.0000	0.6667	0.1560	0.4444	0.0845	0.3333	0.0845	0.3333	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0845	0.3333	83.27%	34.02%	69.13%	12.03%	83.27%	34.02%	100.00%	100.00%	100.00%	100.00%	83.27%	34.02%
1598	GWEA	GWEA	GWEA	GWEA	GWEA	0.0056	0.6911	0.3033	0.0000	0.5000	0.5000	0.4304	0.5000	0.3089	0.5000	0.3089	0.5000	0.6240	0.5052	0.0000	1.0000	0.0000	0.0000	0.3089	0.5000	38.86%	1.04%	14.81%	1.04%	38.86%	1.04%	100.00%	100.00%	100.00%	100.00%	38.86%	1.04%
1599	GDIS	GDIS	GDIS	GDIS	GDIS	0.0002	0.0001	0.9998	0.0000	0.0000	1.0000	0.0004	0.0000	0.0002	0.0000	0.0002	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	99.96%	100.00%	99.91%	100.00%	99.96%	100.00%	100.00%	100.00%	100.00%	100.00%	99.96%	100.00%
16	null	GDIS	GDIS	GDIS	GDIS	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	N/A	N/A	N/A	N/A	N/A	N/A	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	N/A	N/A	N/A	N/A	N/A	N/A
160	GENV	GENV	GENV	GENV	GENV	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	99.99%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
1600	GDIS	GENV	GENV	GENV	GENV	0.9879	0.0001	0.0120	0.6000	0.0000	0.4000	0.0239	0.4800	0.0121	0.4000	0.0121	0.4000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	0.9880	0.6000	97.61%	20.83%	95.28%	4.99%	97.61%	20.83%	-97.93%	-97.93%	-97.93%	-97.93%	-95.56%	-18.76%
1601	GDIS	GDIS	GDIS	GDIS	GDIS	0.0012	0.0006	0.9982	0.0000	0.0000	1.0000	0.0035	0.0000	0.0018	0.0000	0.0018	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0018	0.0000	99.65%	100.00%	99.30%	100.00%	99.65%	100.00%	100.00%	100.00%	100.00%	100.00%	99.65%	100.00%
1602	GWEA	GWEA	GWEA	GWEA	GWEA	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
1603	GDIS	GDIS	GDIS	GDIS	GDIS	0.0044	0.0030	0.9926	0.0000	0.0000	1.0000	0.0147	0.0000	0.0074	0.0000	0.0074	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0074	0.0000	98.54%	100.00%	97.09%	100.00%	98.54%	100.00%	100.00%	100.00%	100.00%	100.00%	98.54%	100.00%
1604	GDIS	GENV	GENV	GENV	GENV	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	100.00%	100.00%	99.99%	100.00%	100.00%	100.00%	-97.93%	-97.93%	-97.93%	-97.93%	-97.92%	-97.93%
1605	GENV	GENV	GENV	GENV	GENV	0.9994	0.0000	0.0006	0.8000	0.0000	0.2000	0.0013	0.3200	0.0006	0.2000	0.0006	0.2000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0006	0.2000	99.87%	60.41%	99.75%	36.66%	99.87%	60.41%	100.00%	100.00%	100.00%	100.00%	99.87%	60.41%
1606	GWEA	GWEA	GWEA	GWEA	GWEA	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
1607	GDIS	GDIS	GDIS	GDIS	GDIS	0.0964	0.0005	0.9031	0.4000	0.0000	0.6000	0.1751	0.4800	0.0969	0.4000	0.0969	0.4000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0969	0.4000	80.83%	20.83%	65.35%	4.99%	80.83%	20.83%	100.00%	100.00%	100.00%	100.00%	80.83%	20.83%
1608	GDIS	GENV	GENV	GENV	GENV	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6240	0.5052	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	100.00%	100.00%	99.99%	100.00%	100.00%	100.00%	-97.93%	-97.93%	-97.93%	-97.93%	-97.92%	-97.93%
1609	GDIS	GDIS	GDIS	GDIS	GDIS	0.0044	0.0030	0.9926	0.0000	0.0000	1.0000	0.0147	0.0000	0.0074	0.0000	0.0074	0.0000	0.6240	0.5052	0.0000	0.0000	0.0000	0.0000	0.0074	0.0000	98.54%	100.00%	97.09%	100.00%	98.54%	100.00%	100.00%	100.00%	100.00%	100.00%	98.54%	100.00%
161	GWEA	GWEA	GENV	GWEA	GENV	0.3338	0.6388	0.0274	0.5000	0.5000	0.0000	0.4797	0.5000	0.3612	0.5000	0.3612	0.5000	0.6240	0.5052	0.0000	0.0000	0.0000	1.0000	0.3612	0.5000	28.51%	1.04%	5.05%	1.04%	28.51%	1.04%	100.00%	100.00%	100.00%	-97.93%	28.51%	1.04%
